,AM
2020-12-17,3875026290
2020-12-18,3946521239
2020-12-21,3927455920
2020-12-22,4008483530
2020-12-23,4022782520
2020-12-24,3994184540
2020-12-28,3665307770
2020-12-29,3660541440
2020-12-30,3665307770
2020-12-31,3676513500
2021-01-04,3638365500
2021-01-05,3943549500
2021-01-06,4005540000
2021-01-07,4019845500
2021-01-08,3852948000
2021-01-11,3862485000
2021-01-12,4038919500
2021-01-13,3981697500
2021-01-14,4067530499
2021-01-15,4053225000
2021-01-19,4105678499
2021-01-20,3867253499
2021-01-21,3862485000
2021-01-22,3876790500
2021-01-25,4034151000
2021-01-26,4062762000
2021-01-27,3914938500
2021-01-28,3924475500
2021-01-29,3862485000
2021-02-01,3814800000
2021-02-02,3676513500
2021-02-03,3862485000
2021-02-04,3776652000
2021-02-05,3833873999
2021-02-08,3934012500
2021-02-09,3981697500
2021-02-10,4100910000
2021-02-11,4162900500
2021-02-12,4320261000
2021-02-16,4372714500
2021-02-17,4363177500
2021-02-18,3824337000
2021-02-19,3829105499
2021-02-22,3829105499
2021-02-23,3962623500
2021-02-24,4334566500
2021-02-25,4325029500
2021-02-26,4205817000
2021-03-01,4429936500
2021-03-02,4387020000
2021-03-03,4420399500
2021-03-04,4534843500
2021-03-05,4511001000
2021-03-08,4425168000
2021-03-09,4263039000
2021-03-10,4568223000
2021-03-11,4501464000
2021-03-12,4301187000
2021-03-15,4267807499
2021-03-16,4181974500
2021-03-17,4263039000
2021-03-18,4067530499
2021-03-19,4234428000
2021-03-22,4220122500
2021-03-23,4077067500
2021-03-24,4115215500
2021-03-25,4229659499
2021-03-26,4396557000
2021-03-29,4272576000
2021-03-30,4205817000
2021-03-31,4309928700
2021-04-01,4352884800
2021-04-05,4295610000
2021-04-06,4252653900
2021-04-07,4271745499
2021-04-08,4257426800
2021-04-09,4071283699
2021-04-12,3966279900
2021-04-13,4133331400
2021-04-14,4128558500
2021-04-15,4157195900
2021-04-16,4152422999
2021-04-19,4181060400
2021-04-20,4128558500
2021-04-21,4228789399
2021-04-22,4276518400
2021-04-23,4286064200
2021-04-26,4348111900
2021-04-27,4290837100
2021-04-28,4333793200
2021-04-29,4195379099
2021-04-30,4123785600
2021-05-03,4190606199
2021-05-04,4314701600
2021-05-05,4381522200
2021-05-06,4357657700
2021-05-07,4429251200
2021-05-10,4443569900
2021-05-11,4453115700
2021-05-12,4376749300
2021-05-13,4400613800
2021-05-14,4624940100
2021-05-17,4734716800
2021-05-18,4768127100
2021-05-19,4725171000
2021-05-20,4772900000
2021-05-21,4763354200
2021-05-24,4658350400
2021-05-25,4629713000
2021-05-26,4605848500
2021-05-27,4701306500
2021-05-28,4581984000
2021-06-01,4834947700
2021-06-02,4806310300
2021-06-03,4749035500
2021-06-04,4744262600
2021-06-07,4892222500
2021-06-08,5011545000
2021-06-09,4916087000
2021-06-10,4944724400
2021-06-11,5021090800
2021-06-14,4892222500
2021-06-15,4920859900
2021-06-16,5006772100
2021-06-17,4815856100
2021-06-18,4758581300
2021-06-21,4916087000
2021-06-22,4854039300
2021-06-23,4882676700
2021-06-24,4939951500
2021-06-25,5030636600
2021-06-28,4844493500
2021-06-29,4930405700
2021-06-30,4960622380
2021-07-01,5051336360
2021-07-02,4989268900
2021-07-06,4908103760
2021-07-07,4865133980
2021-07-08,4922427020
2021-07-09,5046561940
2021-07-12,4951073540
2021-07-13,4822164200
2021-07-14,4788743260
2021-07-15,4760096740
2021-07-16,4621638560
2021-07-19,4492729220
2021-07-20,4683706020
2021-07-21,4793517680
2021-07-22,4826938620
2021-07-23,4764871160
2021-07-26,4927201440
2021-07-27,4597766460
2021-07-28,4635961820
2021-07-29,4631187400
2021-07-30,4535699000
2021-08-02,4416338500
2021-08-03,4468857120
2021-08-04,4392466400
2021-08-05,4382917560
2021-08-06,4392466400
2021-08-09,4382917560
2021-08-10,4430661760
2021-08-11,4464082700
2021-08-12,4459308280
2021-08-13,4382917560
2021-08-16,4320850100
2021-08-17,4344722200
2021-08-18,4153745399
2021-08-19,4158519820
2021-08-20,4249233800
2021-08-23,4320850100
2021-08-24,4344722200
2021-08-25,4497503640
2021-08-26,4411564080
2021-08-27,4640736240
2021-08-30,4573894360
2021-08-31,4588217620
2021-09-01,4640736240
2021-09-02,4788743260
2021-09-03,4826938620
2021-09-07,4826938620
2021-09-08,4841261880
2021-09-09,4774420000
2021-09-10,4798292100
2021-09-13,4898554920
2021-09-14,4826938620
2021-09-15,5008366580
2021-09-16,4974945640
2021-09-17,4826938620
2021-09-20,4750547900
2021-09-21,4698029280
2021-09-22,4760096740
2021-09-23,4893780500
2021-09-24,4889006080
2021-09-27,5056110780
2021-09-28,5013141000
2021-09-29,5084757300
2021-09-30,4974945640
2021-10-01,5113403820
2021-10-04,5180245700
2021-10-05,5218441060
2021-10-06,5132501500
2021-10-07,5208892220
2021-10-08,5237538740
2021-10-11,5242313160
2021-10-12,5251862000
2021-10-13,5204117800
2021-10-14,5285282940
2021-10-15,5418966700
2021-10-18,5418966700
2021-10-19,5433289960
2021-10-20,5528778360
2021-10-21,5428515540
2021-10-22,5466710900
2021-10-25,5576522560
2021-10-26,5275734100
2021-10-27,5165922440
2021-10-28,5185020120
2021-10-29,5079982880
2021-11-01,5113403820
2021-11-02,5108629400
2021-11-03,5137275920
2021-11-04,5056110780
2021-11-05,5146824760
2021-11-08,5194568960
2021-11-09,5165922440
2021-11-10,5051336360
2021-11-11,5156373600
2021-11-12,5065659620
2021-11-15,5027464260
2021-11-16,5037013100
2021-11-17,4998817740
2021-11-18,4984494480
2021-11-19,4850810720
2021-11-22,4822164200
2021-11-23,4974945640
2021-11-24,4994043320
2021-11-26,4893780500
2021-11-29,4807840940
2021-11-30,4635961820
2021-12-01,4545247840
2021-12-02,4621638560
2021-12-03,4573894360
2021-12-06,4535699000
2021-12-07,4664608340
2021-12-08,4736224640
2021-12-09,4621638560
2021-12-10,4559571100
2021-12-13,4421112920
2021-12-14,4421112920
2021-12-15,4483180380
2021-12-16,4516601320
2021-12-17,4569119940
2021-12-20,4454533860
2021-12-21,4554796680
2021-12-22,4554796680
2021-12-23,4583443200
2021-12-27,4698029280
2021-12-28,4669382760
2021-12-29,4602540880
2021-12-30,4588217620
2021-12-31,4623613280
2022-01-03,4723918940
2022-01-04,4771683540
2022-01-05,4747801240
2022-01-06,4871989200
2022-01-07,4876765660
2022-01-10,4843330440
2022-01-11,4934083180
2022-01-12,5015283000
2022-01-13,5024835920
2022-01-14,5101259280
2022-01-18,5015283000
2022-01-19,4957965480
2022-01-20,4800342300
2022-01-21,4743024780
2022-01-24,4752577700
2022-01-25,4566295760
2022-01-26,4561519300
2022-01-27,4585401600
2022-01-28,4580625140
2022-01-31,4752577700
2022-02-01,4805118760
2022-02-02,4957965480
2022-02-03,4881542120
2022-02-04,4953189020
2022-02-07,4900647960
2022-02-08,4886318580
2022-02-09,4843330440
2022-02-10,4762130620
2022-02-11,4881542120
2022-02-14,4747801240
2022-02-15,4790789380
2022-02-16,4776460000
2022-02-17,4537637000
2022-02-18,4614060360
2022-02-22,4408672580
2022-02-23,4465990100
2022-02-24,4475543020
2022-02-25,4590178060
2022-02-28,4795565840
2022-03-01,4786012920
2022-03-02,4795565840
2022-03-03,4819448140
2022-03-04,4876765660
2022-03-07,4876765660
2022-03-08,4871989200
2022-03-09,4895871500
2022-03-10,4967518400
2022-03-11,4871989200
2022-03-14,4652272040
2022-03-15,4618836820
2022-03-16,4752577700
2022-03-17,4838553980
2022-03-18,4914977340
2022-03-21,4957965480
2022-03-22,5000953620
2022-03-23,5063047600
2022-03-24,5153800340
2022-03-25,5488152540
2022-03-28,5316199980
2022-03-29,5320976440
2022-03-30,5263658920
2022-03-31,5199305790
2022-04-01,5213655300
2022-04-04,5247137490
2022-04-05,5151474090
2022-04-06,5232787980
2022-04-07,5180173110
2022-04-08,5213655300
2022-04-11,5204088960
2022-04-12,5242354320
2022-04-13,5376283080
2022-04-14,5395415760
2022-04-18,5385849420
2022-04-19,5457596970
2022-04-20,5476729650
2022-04-21,5275836510
2022-04-22,5051027520
2022-04-25,4917098760
2022-04-26,4692289770
2022-04-27,4759254150
2022-04-28,5122775070
2022-04-29,4912315590
2022-05-02,4864483890
2022-05-03,5065377030
2022-05-04,5180173110
2022-05-05,4979279970
2022-05-06,5084509710
2022-05-09,4730555130
2022-05-10,4735338300
2022-05-11,4701856110
2022-05-12,4644458070
2022-05-13,4874050230
2022-05-16,4921881930
2022-05-17,5079726540
2022-05-18,4931448270
2022-05-19,4826218530
2022-05-20,4888399740
2022-05-23,4945797780
2022-05-24,4955364120
2022-05-25,5012762160
2022-05-26,5117991900
2022-05-27,5232787980
2022-05-31,5194522620
2022-06-01,5338017720
2022-06-02,5271053340
2022-06-03,5290186020
2022-06-06,5333234550
2022-06-07,5457596970
2022-06-08,5347584060
2022-06-09,5232787980
2022-06-10,5141907750
2022-06-13,4831001700
2022-06-14,4744904640
2022-06-15,4720988790
2022-06-16,4534445160
2022-06-17,4352684700
2022-06-21,4553577840
2022-06-22,4381383720
2022-06-23,4304853000
2022-06-24,4453131270
2022-06-27,4529661990
2022-06-28,4544011500
2022-06-29,4419649080
2022-06-30,4330063000
2022-07-01,4425755000
2022-07-05,4310924600
2022-07-06,4263078600
2022-07-07,4473601000
2022-07-08,4454462600
2022-07-11,4449678000
2022-07-12,4320493800
2022-07-13,4406616600
2022-07-14,4430539600
2022-07-15,4430539600
2022-07-18,4569293000
2022-07-19,4760677000
2022-07-20,4736754000
2022-07-21,4664985000
2022-07-22,4617139000
2022-07-25,4760677000
2022-07-26,4669769600
2022-07-27,4712831000
2022-07-28,4712831000
2022-07-29,4813307600
2022-08-01,4803738400
2022-08-02,4808523000
2022-08-03,4794169200
2022-08-04,4607569800
2022-08-05,4650631200
2022-08-08,4655415800
2022-08-09,4722400200
2022-08-10,4822876800
2022-08-11,4966414800
2022-08-12,4990337800
2022-08-15,4908999600
2022-08-16,4980768600
2022-08-17,4937707200
2022-08-18,4999907000
2022-08-19,4952061000
2022-08-22,4956845600
2022-08-23,5047753000
2022-08-24,5100383600
2022-08-25,5138660400
2022-08-26,5019045400
2022-08-29,5047753000
2022-08-30,4851584400
2022-08-31,4818092200
2022-09-01,4755892400
2022-09-02,4765461600
2022-09-06,4641062000
2022-09-07,4698477200
2022-09-08,4698477200
2022-09-09,4861153600
2022-09-12,4971199400
2022-09-13,4803738400
2022-09-14,4995122400
2022-09-15,4961630200
2022-09-16,4818092200
2022-09-19,4842015200
2022-09-20,4794169200
2022-09-21,4760677000
2022-09-22,4631492800
2022-09-23,4339632200
2022-09-26,4234371000
2022-09-27,4239155599
2022-09-28,4464031800
2022-09-29,4406616600
2022-09-30,4392565740
2022-10-03,4536113640
2022-10-04,4732295770
2022-10-05,4722725910
2022-10-06,4717940980
2022-10-07,4679661540
2022-10-10,4612672520
2022-10-11,4713156050
2022-10-12,4727510840
2022-10-13,4832779300
2022-10-14,4684446470
2022-10-17,4856703950
2022-10-18,4899768320
2022-10-19,4957187480
2022-10-20,4861488880
2022-10-21,4933262830
2022-10-24,4899768320
2022-10-25,4899768320
2022-10-26,4928477900
2022-10-27,4923692970
2022-10-28,5019391570
2022-10-31,5095950450
2022-11-01,5201218910
2022-11-02,5105520310
2022-11-03,5177294260
2022-11-04,5210788770
2022-11-07,5296917510
2022-11-08,5287347650
2022-11-09,5095950450
2022-11-10,5339981880
2022-11-11,5349551740
2022-11-14,5311272300
2022-11-15,5359121600
2022-11-16,5311272300
2022-11-17,5220358630
2022-11-18,5239498350
2022-11-21,5091165520
2022-11-22,5316057230
2022-11-23,5272992860
2022-11-25,5292132580
2022-11-28,5249068210
2022-11-29,5306487370
2022-11-30,5421325690
2022-12-01,5411755830
2022-12-02,5440465410
2022-12-05,5277777790
2022-12-06,5167724400
2022-12-07,5095950450
2022-12-08,5038531290
2022-12-09,4938047760
2022-12-12,5067240870
2022-12-13,5167724400
2022-12-14,5167724400
2022-12-15,5129444960
2022-12-16,5057671010
2022-12-19,4990681990
2022-12-20,5028961430
2022-12-21,5162939470
2022-12-22,5072025800
2022-12-23,5210788770
2022-12-27,5253853140
2022-12-28,5119875100
2022-12-29,5206003840
2022-12-30,5162939470
2023-01-03,5054142720
2023-01-04,5212084680
2023-01-05,5145079000
2023-01-06,5279090360
2023-01-09,5312593200
2023-01-10,5317379320
2023-01-11,5365240520
2023-01-12,5451390680
2023-01-13,5451390680
2023-01-17,5437032320
2023-01-18,5298234840
2023-01-19,5365240520
2023-01-20,5365240520
2023-01-23,5403529480
2023-01-24,5255159760
2023-01-25,5197726320
2023-01-26,5178581840
2023-01-27,5259945880
2023-01-30,5154651240
2023-01-31,5216870800
2023-02-01,5140292880
2023-02-02,5140292880
2023-02-03,5082859440
2023-02-06,5058928840
2023-02-07,5135506760
2023-02-08,5106790040
2023-02-09,5044570480
2023-02-10,5125934520
2023-02-13,5173795720
2023-02-14,5212084680
2023-02-15,5183367960
2023-02-16,5264732000
2023-02-17,5087645560
2023-02-21,4963206440
2023-02-22,5001495400
2023-02-23,5106790040
2023-02-24,5154651240
2023-02-27,5102003920
2023-02-28,5044570480
2023-03-01,5078073320
2023-03-02,5092431680
2023-03-03,5173795720
2023-03-06,5121148400
2023-03-07,5063714960
2023-03-08,4967992560
2023-03-09,4948848080
2023-03-10,4829195080
2023-03-13,4833981200
2023-03-14,4924917480
2023-03-15,4762189400
2023-03-16,4786120000
2023-03-17,4738258800
2023-03-20,4805264480
2023-03-21,4929703600
2023-03-22,4781333880
2023-03-23,4685611480
2023-03-24,4795692240
2023-03-27,4810050600
2023-03-28,4829195080
2023-03-29,4915345240
2023-03-30,4929703600
2023-03-31,5029975980
2023-04-03,5121081360
2023-04-04,5025180960
2023-04-05,5034771000
2023-04-06,5020385940
2023-04-10,5029975980
2023-04-11,5082721200
2023-04-12,5044361040
2023-04-13,5068336140
2023-04-14,5092311240
2023-04-17,5058746100
2023-04-18,5034771000
2023-04-19,4982025780
2023-04-20,4929280560
2023-04-21,4938870600
2023-04-24,4910100480
2023-04-25,4737479760
2023-04-26,4699119600
2023-04-27,4958050680
2023-04-28,5159441520
2023-05-01,5226571800
2023-05-02,5049156060
2023-05-03,5006000880
2023-05-04,4929280560
2023-05-05,5010795900
2023-05-08,4962845700
2023-05-09,5020385940
2023-05-10,5077926180
2023-05-11,5034771000
2023-05-12,5029975980
2023-05-15,5049156060
2023-05-16,4986820800
2023-05-17,5001205860
2023-05-18,5077926180
2023-05-19,5125876380
2023-05-22,5188211640
2023-05-23,5130671400
2023-05-24,5101901280
2023-05-25,5010795900
2023-05-26,5006000880
2023-05-30,4953255660
2023-05-31,4895715420
2023-06-01,4943665620
2023-06-02,5135466420
2023-06-05,5140261440
2023-06-06,5159441520
2023-06-07,5269726980
2023-06-08,5250546900
2023-06-09,5207391720
2023-06-12,5317677180
2023-06-13,5216981760
2023-06-14,5188211640
2023-06-15,5260136940
2023-06-16,5298497100
2023-06-20,5284112040
2023-06-21,5293702080
2023-06-22,5212186740
2023-06-23,5149851480
2023-06-26,5236161840
2023-06-27,5269726980
2023-06-28,5336857260
2023-06-29,5447142720
2023-06-30,5564241600
2023-07-03,5569038360
2023-07-05,5554648080
2023-07-06,5477899920
2023-07-07,5516274000
2023-07-10,5521070760
2023-07-11,5617005960
2023-07-12,5688957360
2023-07-13,5789689320
2023-07-14,5631396240
2023-07-17,5593022160
2023-07-18,5669770320
2023-07-19,5688957360
2023-07-20,5688957360
2023-07-21,5684160600
2023-07-24,5770502280
2023-07-25,5626599480
2023-07-26,5640989760
2023-07-27,5578631880
2023-07-28,5684160600
2023-07-31,5727331440
2023-08-01,5684160600
2023-08-02,5617005960
2023-08-03,5664973560
2023-08-04,5626599480
2023-08-07,5741721720
2023-08-08,5736924960
2023-08-09,5746518480
2023-08-10,5717737920
2023-08-11,5756112000
2023-08-14,5712941160
2023-08-15,5674567080
2023-08-16,5602615680
2023-08-17,5664973560
2023-08-18,5688957360
2023-08-21,5722534680
2023-08-22,5664973560
2023-08-23,5722534680
2023-08-24,5660176800
2023-08-25,5727331440
2023-08-28,5789689320
2023-08-29,5890421280
2023-08-30,5842453680
2023-08-31,5813673120
2023-09-01,5852047200
2023-09-05,5765705520
2023-09-06,5593022160
2023-09-07,5655380040
2023-09-08,5684160600
2023-09-11,5554648080
2023-09-12,5703347640
2023-09-13,5688957360
2023-09-14,5664973560
2023-09-15,5631396240
2023-09-18,5669770320
2023-09-19,5597818920
2023-09-20,5655380040
2023-09-21,5559444840
2023-09-22,5708144400
2023-09-25,5703347640
2023-09-26,5669770320
2023-09-27,5760908760
2023-09-28,5861640720
2023-09-29,5746518480
2023-10-02,5607798210
2023-10-03,5598204030
2023-10-04,5598204030
2023-10-05,5679754560
2023-10-06,5698942920
2023-10-09,5828464350
2023-10-10,5862043980
2023-10-11,5900420700
2023-10-12,5895623610
2023-10-13,5981971230
2023-10-16,6020347950
2023-10-17,6077913030
2023-10-18,6058724670
2023-10-19,6001159590
2023-10-20,5991565410
2023-10-23,5962782870
2023-10-24,5828464350
2023-10-25,5833261440
2023-10-26,5929203240
2023-10-27,5823667260
2023-10-30,5852449800
2023-10-31,5919609060
2023-11-01,6063521760
2023-11-02,6212231550
2023-11-03,6197840280
2023-11-06,6173854830
2023-11-07,6145072290
2023-11-08,5972377050
2023-11-09,5981971230
2023-11-10,5996362500
2023-11-13,6044333400
2023-11-14,6145072290
2023-11-15,6183449010
2023-11-16,6130681020
2023-11-17,6241014090
2023-11-20,6226622820
2023-11-21,6260202450
2023-11-22,6284187900
2023-11-24,6360941340
2023-11-27,6303376260
2023-11-28,6221825730
2023-11-29,6298579170
2023-11-30,6389723880
2023-12-01,6418506420
2023-12-04,6413709330
2023-12-05,6284187900
2023-12-06,6178651920
2023-12-07,6097101390
2023-12-08,6207434460
2023-12-11,6130681020
2023-12-12,6034739220
2023-12-13,6082710120
2023-12-14,6077913030
2023-12-15,5953188690
2023-12-18,6068318850
2023-12-19,6063521760
2023-12-20,5967579960
2023-12-21,6005956680
2023-12-22,6049130490
2023-12-26,6087507210
2023-12-27,6053927580
2023-12-28,6044333400
2023-12-29,6010753770
2024-01-02,6056300140
2024-01-03,6022707350
2024-01-04,5917130010
2024-01-05,5974717650
2024-01-08,5912331040
2024-01-09,5878738250
2024-01-10,5897934130
2024-01-11,5854743400
2024-01-12,5883537220
2024-01-16,5897934130
2024-01-17,5859542370
2024-01-18,5854743400
2024-01-19,5830748550
2024-01-22,5936325890
2024-01-23,5758764000
2024-01-24,5825949580
2024-01-25,5864341340
2024-01-26,5883537220
2024-01-29,5945923830
2024-01-30,5941124860
2024-01-31,5873939280
2024-02-01,5883537220
2024-02-02,5873939280
2024-02-05,5801954730
2024-02-06,5744367090
2024-02-07,5753965030
2024-02-08,5720372240
2024-02-09,5686779450
2024-02-12,5744367090
2024-02-13,5605196960
2024-02-14,5614794900
2024-02-15,5950722800
2024-02-16,5955521770
2024-02-20,5984315590
2024-02-21,6205068210
2024-02-22,6262655850
2024-02-23,6296248640
2024-02-26,6349037310
2024-02-27,6320243490
2024-02-28,6358635250
2024-02-29,6430619800
2024-03-01,6483408470
2024-03-04,6493006410
2024-03-05,6517001260
2024-03-06,6517001260
2024-03-07,6449815680
2024-03-08,6406624950
2024-03-11,6564990960
2024-03-12,6540996110
2024-03-13,6555393020
2024-03-14,6425820830
2024-03-15,6411423920
2024-03-18,6435418770
2024-03-19,6560191990
2024-03-20,6569789930
2024-03-21,6718558000
2024-03-22,6684965210
2024-03-25,6646573450
2024-03-26,6617779630
2024-03-27,6665769330
2024-03-28,6747351820
2024-04-01,6795341520
2024-04-02,6867326070
2024-04-03,6881722980
2024-04-04,6862527100
2024-04-05,6857728130
2024-04-08,6814537400
2024-04-09,6809738430
2024-04-10,6790542550
2024-04-11,6732954910
2024-04-12,6675367270
2024-04-15,6555393020
2024-04-16,6521800230
2024-04-17,6550594050
2024-04-18,6632176540
2024-04-19,6680166240
2024-04-22,6718558000
2024-04-23,6689764180
2024-04-24,6728155940
2024-04-25,6828934310
2024-04-26,6809738430
2024-04-29,6804939460
2024-04-30,6641774480
2024-05-01,6569789930
2024-05-02,6699362120
2024-05-03,6790542550
2024-05-06,6819336370
2024-05-07,6852929160
2024-05-08,6843331220
2024-05-09,6891320920
2024-05-10,6920114740
2024-05-13,6939310620
2024-05-14,7030491050
2024-05-15,7040088990
2024-05-16,7078480750
2024-05-17,7160063240
2024-05-20,7208052940
2024-05-21,7126470450
2024-05-22,7040088990
2024-05-23,6915315770
2024-05-24,6920114740
2024-05-28,6944109590
2024-05-29,6915315770
2024-05-30,6891320920
2024-05-31,7030491050
2024-06-03,6915315770
2024-06-04,6958506500
2024-06-05,6977702380
2024-06-06,6958506500
2024-06-07,6948908560
2024-06-10,7025692080
2024-06-11,6992099290
2024-06-12,7011295170
2024-06-13,6968104440
2024-06-14,6905717830
2024-06-17,6900918860
2024-06-18,6968104440
2024-06-20,6977702380
2024-06-21,6934511650
2024-06-24,7035290020
2024-06-25,7150465300
2024-06-26,7126470450
2024-06-27,7097676630
2024-06-28,7073681780
2024-07-01,7035290020
2024-07-02,7083279720
2024-07-03,7092877660
2024-07-05,7083279720
2024-07-08,7016094140
2024-07-09,7059284870
2024-07-10,7078480750
2024-07-11,7078480750
2024-07-12,7126470450
2024-07-15,7006496200
2024-07-16,7054485900
2024-07-17,6987300320
2024-07-18,7088078690
2024-07-19,7136068390
2024-07-22,7275238520
2024-07-23,7208052940
2024-07-24,6987300320
2024-07-25,6910516800
2024-07-26,6953707530
2024-07-29,6903828050
2024-07-30,7004859680
2024-07-31,6908639080
2024-08-01,6754686120
2024-08-02,6586300070
2024-08-05,6441969170
2024-08-06,6759497150
2024-08-07,6644032430
2024-08-08,6769119210
2024-08-09,6663276550
